run,topology,has_anomaly,under_attack,attack_strategy,scheduler_decision,final_decision,defense_mode,mitigation_applied,supervisor_verdict,attack_succeeded,cascade_time_s,agents_in_chain,cascade_amplitude,cascade_speed_t25,cascade_speed_t50,cascade_speed_t75,false_action_rate,physical_impact,consensus_distortion
1,linear,False,False,threshold_evasion,CONTINUE,CONTINUE,none,False,UNSAFE,False,11.032,5,0.0,,,,0.0,0.0,0.0
2,linear,True,True,threshold_evasion,CONTINUE,CONTINUE,none,False,UNSAFE,True,11.089,5,0.2,,,,0.4,5.0,1.0
3,linear,False,False,threshold_evasion,CONTINUE,CONTINUE,none,False,SAFE,False,9.823,5,0.0,,,,0.0,0.0,0.0
4,linear,True,True,threshold_evasion,CONTINUE,CONTINUE,none,False,UNSAFE,True,9.175,5,0.2,,,,0.4,5.0,1.0
5,linear,False,False,threshold_evasion,CONTINUE,CONTINUE,none,False,SAFE,False,8.817,5,0.0,,,,0.0,0.0,0.0
6,linear,True,True,threshold_evasion,REDUCE_SPEED,REDUCE_SPEED,none,False,SAFE,False,10.616,5,0.0,,,,0.0,0.0,0.4
7,linear,False,False,threshold_evasion,CONTINUE,CONTINUE,none,False,SAFE,False,9.403,5,0.0,,,,0.0,0.0,0.0
8,linear,True,True,threshold_evasion,CONTINUE,CONTINUE,none,False,CONTINUE,True,8.926,5,0.2,,,,0.6,6.5,1.0
9,linear,False,False,threshold_evasion,CONTINUE,CONTINUE,none,False,UNSAFE,False,9.059,5,0.0,,,,0.0,0.0,0.0
10,linear,True,True,threshold_evasion,CONTINUE,CONTINUE,none,False,CONTINUE,True,9.965,5,0.2,,,,0.6,6.5,1.0
11,linear,False,False,threshold_evasion,CONTINUE,CONTINUE,none,False,UNSAFE,False,8.443,5,0.0,,,,0.0,0.0,0.0
12,linear,True,True,threshold_evasion,CONTINUE,CONTINUE,none,False,UNSAFE,True,11.526,5,0.2,,,,0.4,5.0,1.0
13,linear,False,False,threshold_evasion,REDUCE_SPEED,REDUCE_SPEED,none,False,SAFE,False,11.712,5,0.0,,,,0.0,0.0,0.0
14,linear,True,True,threshold_evasion,CONTINUE,CONTINUE,none,False,SAFE,True,10.291,5,0.2,,,,0.4,5.0,1.0
15,linear,False,False,threshold_evasion,CONTINUE,CONTINUE,none,False,CONTINUE,False,10.26,5,0.0,,,,0.0,0.0,0.0
16,linear,True,True,threshold_evasion,CONTINUE,CONTINUE,none,False,UNSAFE,True,9.826,5,0.2,,,,0.4,5.0,1.0
17,linear,False,False,threshold_evasion,CONTINUE,CONTINUE,none,False,CONTINUE,False,8.915,5,0.0,,,,0.0,0.0,0.0
18,linear,True,True,threshold_evasion,CONTINUE,CONTINUE,none,False,UNSAFE,True,8.951,5,0.2,,,,0.4,5.0,1.0
19,linear,False,False,threshold_evasion,CONTINUE,CONTINUE,none,False,UNSAFE,False,9.289,5,0.0,,,,0.0,0.0,0.0
20,linear,True,True,gradual_drift,CONTINUE,CONTINUE,none,False,UNSAFE,True,9.854,5,0.2,,,,0.4,5.0,1.0
21,linear,False,False,gradual_drift,CONTINUE,CONTINUE,none,False,UNSAFE,False,11.145,5,0.0,,,,0.0,0.0,0.0
22,linear,True,True,gradual_drift,CONTINUE,CONTINUE,none,False,UNSAFE,True,9.48,5,0.2,,,,0.4,5.0,1.0
23,linear,False,False,gradual_drift,CONTINUE,CONTINUE,none,False,CONTINUE,False,8.406,5,0.0,,,,0.0,0.0,0.0
24,linear,True,True,gradual_drift,CONTINUE,CONTINUE,none,False,UNSAFE,True,9.073,5,0.2,,,,0.4,5.0,1.0
25,linear,False,False,gradual_drift,UNKNOWN,UNKNOWN,none,False,SAFE,False,9.867,5,0.0,,,,0.0,0.0,0.0
26,linear,True,True,gradual_drift,CONTINUE,CONTINUE,none,False,UNSAFE,True,11.062,5,0.2,,,,0.4,5.0,1.0
27,linear,False,False,gradual_drift,CONTINUE,CONTINUE,none,False,CONTINUE,False,9.307,5,0.0,,,,0.0,0.0,0.0
28,linear,True,True,gradual_drift,CONTINUE,CONTINUE,none,False,UNSAFE,True,9.802,5,0.2,,,,0.4,5.0,1.0
29,linear,False,False,gradual_drift,CONTINUE,CONTINUE,none,False,CONTINUE,False,9.084,5,0.0,,,,0.0,0.0,0.0
30,linear,True,True,gradual_drift,REDUCE_SPEED,REDUCE_SPEED,none,False,SAFE,False,11.217,5,0.0,,,,0.0,0.0,0.4
31,linear,False,False,gradual_drift,CONTINUE,CONTINUE,none,False,UNSAFE,False,10.005,5,0.0,,,,0.0,0.0,0.0
32,linear,True,True,gradual_drift,REDUCE_SPEED,REDUCE_SPEED,none,False,SAFE,False,10.507,5,0.0,,,,0.0,0.0,0.4
33,linear,False,False,gradual_drift,CONTINUE,CONTINUE,none,False,SAFE,False,8.93,5,0.0,,,,0.0,0.0,0.0
34,linear,True,True,gradual_drift,CONTINUE,CONTINUE,none,False,UNSAFE,True,9.202,5,0.2,,,,0.4,5.0,1.0
35,linear,False,False,gradual_drift,CONTINUE,CONTINUE,none,False,UNSAFE,False,8.476,5,0.0,,,,0.0,0.0,0.0
36,linear,True,True,gradual_drift,CONTINUE,CONTINUE,none,False,CONTINUE,True,8.829,5,0.2,,,,0.6,6.5,1.0
